Apryl,5.014015101
Viki,6.314164507
Annalisa,16.50029256
Marleen,41.14557007
Shaniqua,7.462456949
Jani,74.17901634
Carmelo,71.98294812
Maud,79.94601916
Cherish,96.74606033
Billy,57.57635408
Jeanene,51.90966758
Marlys,43.56431794
Ghislaine,58.66586486
Gigi,18.16415292
Milo,58.54243374
Wendie,49.92236179
Shawanna,14.25567935
Eleni,13.60881762
Breanna,62.17692184
Selene,55.7685752
Cheree,68.06873438
Avis,5.24410355
Marnie,19.59967668
Lorilee,6.170090366
Collette,42.88163033
Shellie,7.817861128
Maryann,0.047470182
Luella,40.20664317
Anderson,11.28511385
Elanor,15.20115322
Debrah,98.34665196
Kristofer,90.73038802
Cathryn,75.69381414
Rudy,35.47133026
Nancee,34.85852797
Piedad,58.66590257
Porter,34.15458399
Raisa,56.84306741
Leatha,84.81673772
Jocelyn,66.12551712
Millard,77.02967958
Neva,54.40711109
Detra,29.75991825
Jarred,27.82282953
Haywood,38.15783042
Leona,85.36592173
Hong,22.36175617
Lani,65.28878502
Deloris,63.35702202
Lashawn,99.74096189
