Deandra,50.53705359
Riva,59.15840098
Kindra,2.849392825
Gerda,86.21168694
Conception,3.55987142
Carolina,73.31990335
Jacki,98.76227811
Malcolm,92.3033315
Sharonda,94.42512379
Treasa,86.71744552
Grant,87.046206
Laurene,98.39477092
Arletta,78.11077683
Madison,84.26358052
Charita,22.05130552
Julieta,77.3673589
Janetta,19.67513679
Amberly,60.68410301
Hanh,15.17198775
Wonda,92.99464657
Alessandra,42.68082567
Carol,14.35825097
Magdalen,11.43985132
Azucena,1.254162014
Charley,10.76694473
Theola,6.832890039
Edris,13.51626618
Lianne,23.98574031
Fallon,36.23768987
Diane,29.80853737
Louetta,82.92423782
Aurelio,30.13118254
Dominque,4.26997202
Emely,6.505990371
Corliss,70.14452727
Annis,31.18056837
Beverley,55.4218391
Hildred,29.25993719
Clarisa,33.17270134
Edmund,39.18484619
Jerrold,29.33889903
Ivan,52.25452707
Carmel,6.618598646
Cristy,37.7778754
Genia,20.69903851
Angela,59.52098794
Ebonie,23.06396484
Randell,30.58284339
Freddy,63.91271128
Rudolf,14.60983894
